REF_DATE,GEO,DGUID,New housing price indexes,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
01-10-1993,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,53.4,,,,1
01-11-1993,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,53.4,,,,1
01-12-1993,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,53.4,,,,1
01-01-1994,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,53.3,,,,1
01-02-1994,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,53.1,,,,1
01-03-1994,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,53.2,,,,1
01-04-1994,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,53.3,,,,1
01-05-1994,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,53.3,,,,1
01-06-1994,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,53.5,,,,1
01-07-1994,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,53.5,,,,1
01-08-1994,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,53.6,,,,1
01-09-1994,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,53.6,,,,1
01-10-1994,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,53.6,,,,1
01-11-1994,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,53.5,,,,1
01-12-1994,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,53.6,,,,1
01-01-1995,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,53.6,,,,1
01-02-1995,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,53.6,,,,1
01-03-1995,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,53.7,,,,1
01-04-1995,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,53.6,,,,1
01-05-1995,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,53.5,,,,1
01-06-1995,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,53.3,,,,1
01-07-1995,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,53.4,,,,1
01-08-1995,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,53.4,,,,1
01-09-1995,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,53.4,,,,1
01-10-1995,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,53.3,,,,1
01-11-1995,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,53,,,,1
01-12-1995,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,53.2,,,,1
01-01-1996,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,53.3,,,,1
01-02-1996,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,52.9,,,,1
01-03-1996,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,53,,,,1
01-04-1996,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,52.8,,,,1
01-05-1996,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,52.7,,,,1
01-06-1996,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,52.8,,,,1
01-07-1996,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,52.7,,,,1
01-08-1996,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,52.8,,,,1
01-09-1996,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,52.7,,,,1
01-10-1996,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,52.8,,,,1
01-11-1996,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,53,,,,1
01-12-1996,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,53,,,,1
01-01-1997,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,53.3,,,,1
01-02-1997,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,53.4,,,,1
01-03-1997,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,53.5,,,,1
01-04-1997,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,53.7,,,,1
01-05-1997,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,53.9,,,,1
01-06-1997,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,53.9,,,,1
01-07-1997,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,54.1,,,,1
01-08-1997,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,54.1,,,,1
01-09-1997,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,54.2,,,,1
01-10-1997,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,54.2,,,,1
01-11-1997,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,54.7,,,,1
01-12-1997,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,54.7,,,,1
01-01-1998,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,54.8,,,,1
01-02-1998,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,54.9,,,,1
01-03-1998,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,55,,,,1
01-04-1998,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,55.1,,,,1
01-05-1998,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,55.2,,,,1
01-06-1998,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,55.3,,,,1
01-07-1998,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,55.4,,,,1
01-08-1998,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,55.4,,,,1
01-09-1998,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,55.6,,,,1
01-10-1998,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,55.7,,,,1
01-11-1998,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,55.8,,,,1
01-12-1998,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,55.7,,,,1
01-01-1999,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,55.8,,,,1
01-02-1999,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,55.8,,,,1
01-03-1999,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,55.9,,,,1
01-04-1999,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,55.9,,,,1
01-05-1999,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,55.9,,,,1
01-06-1999,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,56,,,,1
01-07-1999,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,56.1,,,,1
01-08-1999,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,56.3,,,,1
01-09-1999,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,56.5,,,,1
01-10-1999,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,56.6,,,,1
01-11-1999,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,57,,,,1
01-12-1999,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,57.1,,,,1
01-01-2000,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,57.1,,,,1
01-02-2000,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,57.4,,,,1
01-03-2000,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,57.5,,,,1
01-04-2000,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,57.6,,,,1
01-05-2000,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,57.8,,,,1
01-06-2000,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,57.8,,,,1
01-07-2000,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,58,,,,1
01-08-2000,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,58.1,,,,1
01-09-2000,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,58.3,,,,1
01-10-2000,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,58.4,,,,1
01-11-2000,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,58.8,,,,1
01-12-2000,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,58.9,,,,1
01-01-2001,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,59,,,,1
01-02-2001,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,59.1,,,,1
01-03-2001,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,59.4,,,,1
01-04-2001,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,59.5,,,,1
01-05-2001,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,59.6,,,,1
01-06-2001,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,59.8,,,,1
01-07-2001,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,59.9,,,,1
01-08-2001,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,60,,,,1
01-09-2001,Ontario,2016A000235,Total (house and land),"Index, 201612=100",347,units,0,v111955490,17.1,60.1,,,,1
